epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57309,1.1305,3.92861,1.47072,0,0,0,0,1.16348,4.30824,1.58916,0,0,0
2,5.18401,1.03043,3.88068,1.36481,0,0,0,0,1.1716,4.311,1.58776,4.66575e-06,4.66575e-06,4.66575e-06
3,6.88335,1.18618,3.93697,1.41599,0,0,0,0,1.16488,4.30407,1.55319,9.14301e-06,9.14301e-06,9.14301e-06
4,8.44109,1.06239,3.83638,1.27082,0,0,0,0,1.14239,4.29892,1.53683,1.34318e-05,1.34318e-05,1.34318e-05
5,10.0511,0.82098,3.83474,1.17332,0,0,0,0,1.10897,4.28732,1.50583,1.7532e-05,1.7532e-05,1.7532e-05
6,11.7182,0.92007,3.82285,1.15092,0,0,0,0,1.06215,4.26575,1.4528,2.14438e-05,2.14438e-05,2.14438e-05
7,13.2761,0.97123,3.91697,1.3915,0,0,0,0,1.01841,4.24483,1.40798,2.51671e-05,2.51671e-05,2.51671e-05
8,14.9887,0.8046,3.79928,1.13959,0,0,0,0,0.95905,4.18864,1.32732,2.87018e-05,2.87018e-05,2.87018e-05
9,16.673,0.97135,4.31874,1.56134,0,0,0,0,0.88534,4.17469,1.26007,3.20481e-05,3.20481e-05,3.20481e-05
10,18.3049,0.83056,3.83015,1.15723,0,0,0,0,0.78704,4.17086,1.1706,3.52059e-05,3.52059e-05,3.52059e-05
11,19.8442,0.75705,3.6982,1.0971,0,0,0,0,0.6841,4.15634,1.08667,3.81752e-05,3.81752e-05,3.81752e-05
12,21.4214,0.70623,3.66464,1.01979,0,0,0,0,0.61593,4.15348,1.02836,4.0956e-05,4.0956e-05,4.0956e-05
13,23.0568,0.71341,3.66407,1.19521,0,0,0,0,0.56474,4.13307,0.97792,4.35483e-05,4.35483e-05,4.35483e-05
14,24.7284,0.69958,3.69922,1.23401,0,0,0,0,0.51972,4.12609,0.94564,4.59521e-05,4.59521e-05,4.59521e-05
