epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.299,1.84433,3.1909,2.33057,0.00409,1,0.27726,0.10046,1.73696,3.67777,2.70036,3.334e-05,3.334e-05,3.334e-05
2,18.7544,1.89266,3.09238,2.45606,0.00395,1,0.29784,0.10397,1.78403,3.59893,2.67655,8.25248e-05,8.25248e-05,8.25248e-05
3,25.631,1.60572,3.00301,2.126,0.00359,1,0.33646,0.10911,1.61247,3.50196,2.27812,0.000130719,0.000130719,0.000130719
4,32.5289,1.65629,2.68989,2.03614,0.00337,1,0.42028,0.14413,1.57557,3.41783,2.11817,0.000177924,0.000177924,0.000177924
5,39.4774,1.44272,2.46511,1.78829,0.00334,1,0.52196,0.24111,1.65036,3.2912,2.0599,0.000224138,0.000224138,0.000224138
6,50.5674,1.59212,2.49,1.94981,0.00333,1,0.50741,0.2177,1.62341,3.22616,2.07172,0.000269362,0.000269362,0.000269362
7,63.1397,1.40362,2.08002,1.80521,0.00339,1,0.48184,0.19042,1.56937,3.26756,2.02029,0.000313596,0.000313596,0.000313596
8,73.6408,1.4909,2.14168,1.70147,0.00354,1,0.42598,0.1716,1.51281,3.29193,1.92358,0.00035684,0.00035684,0.00035684
9,84.7217,1.35997,1.96517,1.63881,0.00374,1,0.34221,0.13208,1.61598,3.2306,2.01746,0.000399093,0.000399093,0.000399093
10,95.4617,1.49054,2.1822,1.83461,0.0037,1,0.32844,0.1424,1.68564,3.23541,2.01978,0.000440356,0.000440356,0.000440356
11,106.073,1.43538,1.94083,1.64579,0.00377,1,0.31889,0.11172,1.91693,3.33407,2.27272,0.000480629,0.000480629,0.000480629
12,116.653,1.51908,1.9285,1.74748,0.00369,1,0.28657,0.08785,2.07314,3.42519,2.49046,0.000519912,0.000519912,0.000519912
13,127.209,1.33421,1.77857,1.55038,0.13984,0.5,0.27556,0.09621,1.9855,3.31032,2.6233,0.000558205,0.000558205,0.000558205
14,137.648,1.47334,1.97929,1.81863,0.24674,0.7,0.40356,0.11699,1.94485,3.22432,2.53629,0.000595507,0.000595507,0.000595507
15,148.426,1.37746,1.90923,1.66446,0.08734,0.7,0.44581,0.15331,2.13886,3.47366,2.70212,0.00063182,0.00063182,0.00063182
16,159.029,1.48798,1.82592,1.78231,0.26265,0.5,0.40503,0.15405,2.22461,3.34428,2.70144,0.000667142,0.000667142,0.000667142
