epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,149.381,0,50.6003,0,0.00322,1,0.24875,0.07857,2.15707,4.59845,2.81325,0.00041761,0.00041761,0.00041761
48,152.338,0,50.8137,0,0.00322,1,0.24875,0.07857,2.15707,4.59845,2.81325,0.000418932,0.000418932,0.000418932
49,155.586,0,50.3487,0,0.00328,1,0.199,0.0597,2.44842,4.78452,2.97688,0.000419924,0.000419924,0.000419924
50,158.687,0,49.8993,0,0.00328,1,0.199,0.0597,2.44842,4.78452,2.97688,0.000420586,0.000420586,0.000420586
51,161.876,0,49.7121,0,0.00328,1,0.16583,0.03317,2.86236,4.92957,3.252,0.000420918,0.000420918,0.000420918
52,165.064,0,49.4222,0,0.00328,1,0.16583,0.03317,2.86236,4.92957,3.252,0.000420919,0.000420919,0.000420919
53,168.103,0,49.4526,0,0.00328,1,0.16583,0.03317,2.86236,4.92957,3.252,0.000420591,0.000420591,0.000420591
54,171.19,0,49.5239,0,0.00345,1,0.199,0.04158,3.01611,5.32488,3.37678,0.000419932,0.000419932,0.000419932
55,174.052,0,49.2783,0,0.00345,1,0.199,0.04158,3.01611,5.32488,3.37678,0.000418944,0.000418944,0.000418944
56,177.194,0,49.1816,0,0.00345,1,0.199,0.04158,3.01611,5.32488,3.37678,0.000417625,0.000417625,0.000417625
57,180.532,0,48.808,0,0.00351,1,0.199,0.04144,3.1993,5.16924,3.46983,0.000415977,0.000415977,0.000415977
58,183.554,0,48.6726,0,0.00351,1,0.199,0.04144,3.1993,5.16924,3.46983,0.000413998,0.000413998,0.000413998
59,186.441,0,48.6331,0,0.00351,1,0.199,0.04144,3.1993,5.16924,3.46983,0.000411689,0.000411689,0.000411689
60,189.735,0,48.7828,0,0.00356,1,0.01131,0.00339,3.29366,5.16327,3.54601,0.00040905,0.00040905,0.00040905
61,192.812,0,48.2586,0,0.00356,1,0.01131,0.00339,3.29366,5.16327,3.54601,0.000406081,0.000406081,0.000406081
62,195.851,0,47.9046,0,0.00356,1,0.01131,0.00339,3.29366,5.16327,3.54601,0.000402782,0.000402782,0.000402782
